2018-12-05 12:37:18.216860 30.48
2018-12-05 12:37:19.231794 30.78
2018-12-05 12:37:20.245949 30.88
2018-12-05 12:37:21.258260 30.68
2018-12-05 12:37:22.272282 30.98
2018-12-05 12:37:23.284951 30.58
2018-12-05 12:37:24.298861 30.88
2018-12-05 12:37:25.313564 30.92
2018-12-05 12:37:26.328164 30.58
2018-12-05 12:37:27.342824 30.48
2018-12-05 12:37:28.357616 30.64
2018-12-05 12:37:29.372198 30.84
2018-12-05 12:37:30.386861 30.22
2018-12-05 12:37:31.402312 30.86
2018-12-05 12:37:32.417068 30.94
2018-12-05 12:37:33.432113 30.44
2018-12-05 12:37:34.446725 30.82
2018-12-05 12:37:35.462760 30.46
2018-12-05 12:37:36.475991 30.74
2018-12-05 12:37:37.488472 30.92
2018-12-05 12:37:38.500403 30.72
2018-12-05 12:37:39.510867 30.84
2018-12-05 12:37:40.217315 30
2018-12-05 12:37:40.524400 30.8
2018-12-05 12:37:41.227024 30
2018-12-05 12:37:41.538986 30.84
2018-12-05 12:37:42.237606 30
2018-12-05 12:37:42.553760 30.06
2018-12-05 12:37:43.246932 30
2018-12-05 12:37:43.566756 30.86
2018-12-05 12:37:44.256965 30
2018-12-05 12:37:44.579966 30.5
2018-12-05 12:37:45.267213 30
2018-12-05 12:37:45.593612 30.3
2018-12-05 12:37:46.278302 30
2018-12-05 12:37:46.607188 30.66
2018-12-05 12:37:47.288539 30
2018-12-05 12:37:47.621422 30.66
2018-12-05 12:37:48.299299 30
2018-12-05 12:37:48.635693 30.32
2018-12-05 12:37:49.310196 30
2018-12-05 12:37:49.650259 30.1
